"AI Product Recommendation Assistant","Asistente de recomendaciones de productos con IA"
"What are you looking for?","¿Qué estás buscando?"
"Ask me about products...","Preguntame por productos..."
"Try:","Por ejemplo:"
"Recent searches","Búsquedas recientes"
"Clear history","Borrar historial"
"Search","Buscar"
"Clear","Limpiar"
"Processing your request...","Buscando los mejores productos..."
"Recommended Products","Productos encontrados"
"Related Searches","Búsquedas relacionadas"
"Please enter a search query.","Por favor ingresá un término de búsqueda."
"Please provide a search query.","Por favor ingresá un término de búsqueda."
"Invalid request payload.","La solicitud enviada no es válida."
"No products to display.","No hay productos para mostrar."
"No products found for your query.","No se encontraron productos para tu búsqueda."
"Unable to process your request.","No pudimos procesar tu solicitud."
"Unable to process your request. Please try again later.","No pudimos procesar tu solicitud. Intentá nuevamente más tarde."
"An error occurred. Please try again.","Ocurrió un error. Intentá nuevamente."
"An error occurred while loading products.","Ocurrió un error al cargar los productos."
"An error occurred while processing your request.","Ocurrió un error al procesar tu solicitud."
"1 product found","1 producto encontrado"
"%1 products found","%1 productos encontrados"
"No products found.","No se encontraron productos."
"You might also like","Quizás también te guste"
"1 related product","1 producto relacionado"
"%1 related products","%1 productos relacionados"
"Fetching recommendations...","Buscando recomendaciones..."
"We couldn't load related products right now.","No pudimos cargar productos relacionados en este momento."
"View Product","Ver producto"
