"You already have an account with us, please select your login method.","Ya tienes una cuenta, selecciona un metodo para iniciar sesión."
"You can create an account after checkout.","Puedes crear una cuenta luego de finalizar el pedido."
Access code by email,Código por email
Email and password,Email y contraseña
"Switch login method","Cambia el metodo de logueo"
"Registered customers","Que bueno verte!"
"If you have an account, sign in with your email address. Remember to check at spam.","Si reestableciste tu contraseña vas a recibir un email con los pasos a seguir, recordá revisar tu correo no deseado/spam."
"Forgot your password?","Olvidaste tu contraseña?"
"Send OTP code","Enviar código"
"* Required fields","* Campos requeridos"
Login with:,Ingresa con:
"OTP code","Código a tu email"
Login in to your account,Ingresá a tu cuenta
